Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,9.217 ₫,60% Off,135 Đã bán,(32),Hồ Chí Minh,27.975 ₫,17.000 ₫,96%,95%,97%,1,0,0,1,30
Trang sức,20.000 ₫,47% Off,149 Đã bán,(64),Hồ Chí Minh,30.000 ₫,17.000 ₫,95%,100%,71%,7,2,0,1,54
Trang sức,25.456 ₫,31% Off,212 Đã bán,(51),Hồ Chí Minh,89.000 ₫,16.500 ₫,97%,99%,87%,1,0,0,0,50
Trang sức,149.000 ₫,45% Off,108 Đã bán,(24),Hà Nội,269.000 ₫,32.700 ₫,80%,94%,85%,2,2,0,0,20
Trang sức,35.000 ₫,50% Off,160 Đã bán,(33),Nước ngoài,70.000 ₫,17.000 ₫,98%,100%,100%,0,0,0,0,34
Trang sức,10.084 ₫,57% Off,1.2K Đã bán,(269),Nước ngoài,42.000 ₫,17.000 ₫,97%,99%,100%,1,0,1,3,264
Trang sức,24.000 ₫,56% Off,3.0K Đã bán,(647),Hà Nội,55.000 ₫,32.700 ₫,95%,96%,100%,16,3,13,15,601
Trang sức,8.000 ₫,38% Off,43 Đã bán,(21),Hồ Chí Minh,24.000 ₫,17.000 ₫,95%,100%,71%,0,0,2,0,19
Trang sức,5.949 ₫,46% Off,51 Đã bán,(11),Nước ngoài,11.000 ₫,17.000 ₫,94%,100%,100%,0,0,0,0,11
Trang sức,30.176 ₫,43% Off,542 Đã bán,(133),Nước ngoài,63.366 ₫,17.000 ₫,98%,100%,100%,1,0,2,3,127
Trang sức,27.015 ₫,55% Off,791 Đã bán,(122),Hồ Chí Minh,59.800 ₫,16.500 ₫,97%,100%,100%,1,2,1,2,116
Trang sức,13.840 ₫,51% Off,25 Đã bán,(3),Hồ Chí Minh,28.000 ₫,17.000 ₫,96%,100%,,0,0,0,0,3
Trang sức,44.100 ₫,48% Off,42 Đã bán,(15),Hồ Chí Minh,84.000 ₫,17.000 ₫,97%,100%,,0,0,0,0,15
Trang sức,29.000 ₫,48% Off,219 Đã bán,(59),Hồ Chí Minh,56.000 ₫,18.300 ₫,99%,100%,100%,0,0,1,1,57
Trang sức,6.000 ₫,33% Off,457 Đã bán,(77),Hồ Chí Minh,12.332 ₫,16.500 ₫,96%,100%,100%,1,1,1,4,71
Trang sức,9.157 ₫,49% Off,246 Đã bán,(52),Nước ngoài,17.999 ₫,17.000 ₫,96%,100%,100%,4,1,1,2,43
Trang sức,35.372 ₫,49% Off,2.7K Đã bán,(591),Hồ Chí Minh,26.838 ₫,17.000 ₫,97%,99%,100%,4,1,3,14,569
Trang sức,54.470 ₫,21% Off,64 Đã bán,(17),Hồ Chí Minh,69.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,17
Trang sức,149.077 ₫,46% Off,272 Đã bán,(73),Bình Dương,275.000 ₫,28.700 ₫,98%,99%,66%,0,0,0,3,70
Trang sức,3.782 ₫,55% Off,2.3K Đã bán,(201),Hồ Chí Minh,11.200 ₫,16.500 ₫,97%,88%,100%,4,1,4,9,183
Trang sức,41.631 ₫,40% Off,11 Đã bán,(6),Hồ Chí Minh,69.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,6
Trang sức,22.750 ₫,42% Off,663 Đã bán,(179),Hồ Chí Minh,39.000 ₫,16.500 ₫,97%,99%,87%,1,1,2,2,173
Trang sức,7.000 ₫,72% Off,84 Đã bán,(5),Hà Nội,25.000 ₫,32.700 ₫,100%,,,0,0,0,0,6
Trang sức,57.822 ₫,27% Off,86 Đã bán,(32),Hồ Chí Minh,79.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,1,31
Trang sức,19.000 ₫,37% Off,721 Đã bán,(127),Hồ Chí Minh,30.000 ₫,16.500 ₫,98%,99%,100%,2,0,3,0,122
Trang sức,23.000 ₫,44% Off,364 Đã bán,(75),Nước ngoài,41.000 ₫,17.000 ₫,95%,100%,,3,0,1,3,68
Trang sức,13.598 ₫,51% Off,76 Đã bán,(42),Hồ Chí Minh,28.000 ₫,17.000 ₫,96%,100%,100%,1,0,0,1,40
Trang sức,38.808 ₫,,158 Đã bán,(22),Hải Dương,,37.700 ₫,90%,100%,,0,0,1,0,21
Trang sức,35.000 ₫,36% Off,1.6K Đã bán,(377),Nước ngoài,100.000 ₫,17.000 ₫,98%,100%,100%,9,0,3,11,355
Trang sức,32.682 ₫,33% Off,213 Đã bán,(56),Hồ Chí Minh,49.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,56
Trang sức,23.491 ₫,53% Off,598 Đã bán,(142),Hồ Chí Minh,50.000 ₫,16.500 ₫,94%,100%,100%,3,1,2,5,131
Trang sức,39.000 ₫,34% Off,5 Đã bán,(2),Hồ Chí Minh,59.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,3
Trang sức,5.272 ₫,53% Off,35 Đã bán,(12),Hồ Chí Minh,11.300 ₫,17.000 ₫,97%,98%,100%,0,0,0,0,12
Trang sức,4.500 ₫,44% Off,56 Đã bán,(12),Nước ngoài,8.000 ₫,17.000 ₫,94%,100%,100%,0,0,0,0,12
Trang sức,16.000 ₫,47% Off,1.2K Đã bán,(239),Hồ Chí Minh,34.000 ₫,17.000 ₫,93%,98%,100%,7,0,3,9,220
Trang sức,44.182 ₫,53% Off,1.1K Đã bán,(279),Nước ngoài,93.900 ₫,17.000 ₫,97%,94%,36%,2,1,2,2,272
Trang sức,26.201 ₫,42% Off,1.2K Đã bán,(273),Hà Nội,79.000 ₫,32.700 ₫,95%,100%,,14,5,4,8,242
Trang sức,31.844 ₫,64% Off,14 Đã bán,(4),Hồ Chí Minh,199.000 ₫,16.500 ₫,98%,100%,,1,0,0,0,3
Trang sức,29.000 ₫,41% Off,5.3K Đã bán,(851),Hà Nội,49.000 ₫,32.700 ₫,99%,100%,,4,1,5,16,825
Trang sức,4.440 ₫,26% Off,666 Đã bán,(120),Hồ Chí Minh,13.720 ₫,17.000 ₫,96%,99%,63%,1,0,1,0,118
Trang sức,19.900 ₫,31% Off,,,Hồ Chí Minh,28.900 ₫,16.500 ₫,,100%,,0,0,0,0,0
Trang sức,9.900 ₫,45% Off,139 Đã bán,(19),Hồ Chí Minh,41.636 ₫,16.500 ₫,98%,96%,100%,1,0,0,0,19
Trang sức,8.434 ₫,49% Off,866 Đã bán,(213),Nước ngoài,41.273 ₫,17.000 ₫,97%,99%,100%,3,8,1,4,198
Trang sức,8.505 ₫,71% Off,4.3K Đã bán,(465),Nước ngoài,27.964 ₫,17.000 ₫,97%,99%,100%,2,4,8,7,444
Trang sức,5.774 ₫,57% Off,37.1K Đã bán,(2567),Nước ngoài,13.400 ₫,17.000 ₫,97%,99%,100%,22,4,19,68,2454
Trang sức,34.333 ₫,58% Off,1.1K Đã bán,(303),Hồ Chí Minh,82.000 ₫,16.500 ₫,92%,99%,100%,3,4,7,10,279
Trang sức,6.700 ₫,50% Off,6.9K Đã bán,(652),Nước ngoài,25.770 ₫,17.000 ₫,97%,99%,100%,6,1,4,13,629
Trang sức,71.000 ₫,28% Off,238 Đã bán,(79),Hồ Chí Minh,99.000 ₫,16.500 ₫,97%,99%,87%,0,1,1,1,76
Trang sức,20.299 ₫,51% Off,1.7K Đã bán,(408),Hồ Chí Minh,38.962 ₫,17.000 ₫,97%,100%,100%,6,0,3,4,395
Trang sức,4.162 ₫,48% Off,1.1K Đã bán,(302),Hồ Chí Minh,8.000 ₫,Miễn phí,98%,99%,90%,9,4,2,7,281
Trang sức,1.000 ₫,,20 Đã bán,(2),Hà Nội,,32.700 ₫,100%,,,0,0,0,0,2
Trang sức,30.000 ₫,41% Off,306 Đã bán,(47),Hồ Chí Minh,51.000 ₫,Miễn phí,95%,98%,75%,0,0,0,1,46
Trang sức,98.000 ₫,10% Off,107 Đã bán,(34),Hồ Chí Minh,109.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,2,32
Trang sức,99.000 ₫,34% Off,2.0K Đã bán,(519),Hà Nội,149.000 ₫,32.700 ₫,99%,100%,,5,4,5,12,494
Trang sức,53.306 ₫,23% Off,39 Đã bán,(17),Hồ Chí Minh,69.000 ₫,16.500 ₫,97%,99%,87%,0,1,1,1,15
Trang sức,5.851 ₫,58% Off,41 Đã bán,(19),Nước ngoài,14.000 ₫,17.000 ₫,95%,99%,100%,1,2,0,0,16
Trang sức,8.131 ₫,38% Off,363 Đã bán,(53),Nước ngoài,13.203 ₫,17.000 ₫,93%,97%,100%,2,3,3,2,44
Trang sức,49.000 ₫,38% Off,28 Đã bán,(7),Hồ Chí Minh,79.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,1,6
Trang sức,26.900 ₫,61% Off,675 Đã bán,(101),Nước ngoài,69.000 ₫,17.000 ₫,96%,100%,,4,1,1,8,88
Trang sức,73.687 ₫,77% Off,200 Đã bán,(45),Hồ Chí Minh,495.862 ₫,17.000 ₫,95%,100%,,0,0,0,1,44
Trang sức,32.000 ₫,29% Off,1.4K Đã bán,(199),Hà Nội,45.000 ₫,32.700 ₫,85%,86%,100%,24,1,10,6,158
Trang sức,24.000 ₫,66% Off,776 Đã bán,(173),Nước ngoài,70.000 ₫,17.000 ₫,98%,100%,100%,2,0,3,7,161
Trang sức,53.306 ₫,40% Off,52 Đã bán,(9),Hồ Chí Minh,89.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,9
Trang sức,23.200 ₫,50% Off,154 Đã bán,(36),Nước ngoài,46.400 ₫,17.000 ₫,95%,97%,100%,1,0,0,0,35
Trang sức,18.755 ₫,37% Off,816 Đã bán,(114),Nước ngoài,30.000 ₫,17.000 ₫,96%,100%,100%,2,0,2,5,106
Trang sức,12.515 ₫,41% Off,11 Đã bán,(5),Hà Nội,21.276 ₫,32.700 ₫,96%,94%,100%,1,0,1,0,3
Trang sức,8.800 ₫,45% Off,,,Nước ngoài,16.000 ₫,17.000 ₫,96%,100%,100%,0,0,0,0,5
Trang sức,29.000 ₫,51% Off,45 Đã bán,(12),Hồ Chí Minh,59.000 ₫,16.500 ₫,97%,99%,87%,0,0,0,0,12
Trang sức,60.122 ₫,81% Off,1.5K Đã bán,(352),Hồ Chí Minh,359.000 ₫,17.000 ₫,96%,100%,90%,9,2,8,12,321
Trang sức,49.680 ₫,8% Off,295 Đã bán,(40),Hồ Chí Minh,83.000 ₫,17.000 ₫,95%,93%,99%,1,0,2,2,35
Trang sức,19.000 ₫,32% Off,226 Đã bán,(56),Nước ngoài,28.000 ₫,17.000 ₫,98%,90%,100%,1,0,0,0,55
Trang sức,82.962 ₫,16% Off,221 Đã bán,(40),Hồ Chí Minh,99.000 ₫,16.500 ₫,97%,99%,87%,0,2,2,0,36
Trang sức,6.660 ₫,53% Off,65 Đã bán,(16),Hồ Chí Minh,14.300 ₫,17.000 ₫,97%,98%,100%,0,0,0,1,15
Trang sức,11.457 ₫,40% Off,448 Đã bán,(97),Hồ Chí Minh,15.851 ₫,17.000 ₫,94%,97%,80%,1,2,2,5,87
Trang sức,5.000 ₫,44% Off,1.2K Đã bán,(224),Hồ Chí Minh,9.000 ₫,17.000 ₫,95%,100%,71%,12,4,6,13,189
Trang sức,10.999 ₫,49% Off,922 Đã bán,(245),Hồ Chí Minh,21.567 ₫,17.000 ₫,95%,97%,,3,1,5,6,230
Trang sức,7.030 ₫,53% Off,862 Đã bán,(183),Hồ Chí Minh,15.500 ₫,17.000 ₫,97%,98%,100%,0,0,2,4,177
Trang sức,50.852 ₫,15% Off,255 Đã bán,(101),Hồ Chí Minh,49.000 ₫,17.000 ₫,95%,99%,100%,1,1,2,3,95
Trang sức,17.575 ₫,39% Off,191 Đã bán,(63),Hồ Chí Minh,85.000 ₫,17.000 ₫,96%,100%,100%,0,1,0,4,59
Trang sức,9.000 ₫,59% Off,5.6K Đã bán,(735),Hồ Chí Minh,22.000 ₫,17.000 ₫,96%,99%,92%,7,5,9,27,688
Trang sức,5.179 ₫,42% Off,329 Đã bán,(71),Hồ Chí Minh,18.000 ₫,17.000 ₫,97%,100%,100%,1,0,0,0,70
Trang sức,88.000 ₫,,746 Đã bán,(150),Hồ Chí Minh,,Miễn phí,99%,100%,,1,1,2,4,143
Trang sức,109.000 ₫,52% Off,115 Đã bán,(50),Hồ Chí Minh,229.000 ₫,16.500 ₫,99%,100%,100%,0,0,1,0,49
Trang sức,22.587 ₫,50% Off,6.8K Đã bán,(1348),Hà Nội,55.000 ₫,32.700 ₫,95%,100%,,31,11,40,78,1188
Trang sức,22.355 ₫,49% Off,433 Đã bán,(147),Nước ngoài,23.999 ₫,17.000 ₫,96%,100%,100%,1,0,1,6,139
Trang sức,4.145 ₫,19% Off,231 Đã bán,(43),Hồ Chí Minh,5.094 ₫,17.000 ₫,96%,89%,100%,1,0,0,1,41
Trang sức,10.000 ₫,47% Off,51 Đã bán,(11),Nước ngoài,19.000 ₫,17.000 ₫,94%,97%,100%,2,0,0,0,9
Trang sức,80.000 ₫,,36 Đã bán,(10),Hồ Chí Minh,,18.300 ₫,98%,66%,,0,0,0,0,10
Trang sức,33.000 ₫,67% Off,165 Đã bán,(21),Hồ Chí Minh,100.000 ₫,16.500 ₫,94%,,,3,2,0,1,15
Trang sức,15.559 ₫,49% Off,10 Đã bán,(1),Hà Nội,30.580 ₫,32.700 ₫,96%,94%,100%,0,0,0,0,1
Trang sức,35.000 ₫,42% Off,14 Đã bán,(3),Nước ngoài,67.000 ₫,17.000 ₫,95%,100%,,0,0,0,0,3
Trang sức,26.377 ₫,23% Off,,(1),Nước ngoài,34.290 ₫,17.000 ₫,94%,100%,,0,0,0,0,1
Trang sức,14.706 ₫,54% Off,117 Đã bán,(23),Nước ngoài,,,,,,2,0,1,1,19
Trang sức,18.431 ₫,55% Off,110 Đã bán,(17),Hồ Chí Minh,40.800 ₫,16.500 ₫,97%,88%,100%,2,0,0,0,16
Trang sức,73.600 ₫,8% Off,14 Đã bán,(4),Nước ngoài,80.000 ₫,17.000 ₫,93%,92%,99%,0,0,0,0,4
Trang sức,78.734 ₫,75% Off,292 Đã bán,(78),Nước ngoài,309.990 ₫,17.000 ₫,96%,100%,90%,2,0,1,3,72
Trang sức,24.000 ₫,49% Off,132 Đã bán,(30),Nước ngoài,46.900 ₫,17.000 ₫,92%,98%,100%,1,0,0,1,28
Trang sức,18.200 ₫,50% Off,5 Đã bán,(3),Nước ngoài,36.399 ₫,17.000 ₫,96%,100%,100%,0,0,0,0,3
Trang sức,19.000 ₫,79% Off,130 Đã bán,(42),Hồ Chí Minh,90.000 ₫,16.500 ₫,99%,100%,100%,0,0,0,0,42
Trang sức,13.411 ₫,54% Off,15 Đã bán,(8),Hồ Chí Minh,28.999 ₫,17.000 ₫,96%,100%,100%,0,1,0,0,7
Trang sức,8.030 ₫,45% Off,41 Đã bán,(13),Nước ngoài,20.799 ₫,17.000 ₫,96%,100%,100%,0,0,0,0,13
Trang sức,25.760 ₫,52% Off,1.9K Đã bán,(365),Nước ngoài,53.200 ₫,17.000 ₫,98%,98%,100%,3,2,4,16,340
Trang sức,30.000 ₫,41% Off,34 Đã bán,(8),Nước ngoài,53.000 ₫,17.000 ₫,95%,95%,,0,0,0,0,8
Trang sức,8.000 ₫,43% Off,20 Đã bán,(4),Nước ngoài,21.000 ₫,17.000 ₫,95%,100%,71%,0,0,1,0,3
Trang sức,39.300 ₫,57% Off,28 Đã bán,(11),Hồ Chí Minh,91.000 ₫,16.500 ₫,98%,100%,100%,0,1,0,0,11
Trang sức,5.082 ₫,36% Off,841 Đã bán,(101),Nước ngoài,8.000 ₫,17.000 ₫,96%,100%,100%,2,1,1,3,95
Trang sức,57.597 ₫,81% Off,1.8K Đã bán,(458),Hồ Chí Minh,369.000 ₫,17.000 ₫,96%,100%,90%,8,1,4,14,431
Trang sức,6.000 ₫,45% Off,38 Đã bán,(3),Nước ngoài,11.000 ₫,17.000 ₫,94%,97%,100%,0,0,1,0,3
Trang sức,20.900 ₫,49% Off,12 Đã bán,(1),Nước ngoài,41.000 ₫,17.000 ₫,95%,100%,,0,0,0,0,1
Trang sức,8.000 ₫,47% Off,18 Đã bán,(2),Hồ Chí Minh,15.000 ₫,17.000 ₫,94%,100%,100%,0,1,0,0,1
Trang sức,3.771 ₫,16% Off,,,Hồ Chí Minh,4.500 ₫,16.500 ₫,100%,100%,,0,0,0,0,0
Trang sức,20.482 ₫,54% Off,371 Đã bán,(82),Hồ Chí Minh,44.550 ₫,17.000 ₫,89%,100%,,16,7,4,3,53
Trang sức,33.000 ₫,35% Off,,(1),Nước ngoài,50.700 ₫,17.000 ₫,,100%,,0,0,0,0,1
Trang sức,12.024 ₫,43% Off,907 Đã bán,(232),Hồ Chí Minh,44.000 ₫,17.000 ₫,94%,100%,100%,4,1,4,3,221
Trang sức,53.307 ₫,52% Off,251 Đã bán,(48),Hồ Chí Minh,112.000 ₫,16.500 ₫,87%,99%,100%,2,1,1,1,43
Trang sức,5.446 ₫,"52% Off
LazFlash Sale,kết thúc sau 0h",6.7K Đã bán,(1651),Hồ Chí Minh,12.900 ₫,17.000 ₫,96%,95%,97%,39,14,26,36,1536
Trang sức,6.000 ₫,40% Off,3.8K Đã bán,(456),Hồ Chí Minh,10.000 ₫,17.000 ₫,94%,100%,100%,9,4,15,24,405
Trang sức,8.324 ₫,37% Off,193 Đã bán,(42),Nước ngoài,13.203 ₫,17.000 ₫,96%,99%,,3,0,1,1,37
Trang sức,8.509 ₫,48% Off,76 Đã bán,(29),Hồ Chí Minh,16.500 ₫,17.000 ₫,96%,100%,83%,0,1,0,0,28
Trang sức,10.174 ₫,52% Off,5.4K Đã bán,(838),Hồ Chí Minh,21.000 ₫,17.000 ₫,96%,100%,100%,35,18,28,37,720
Trang sức,10.661 ₫,47% Off,52 Đã bán,(7),Hà Nội,20.060 ₫,32.700 ₫,97%,90%,100%,2,0,0,0,6
Trang sức,10.000 ₫,50% Off,587 Đã bán,(77),Hồ Chí Minh,32.000 ₫,17.000 ₫,94%,94%,100%,0,0,2,1,74
Trang sức,29.900 ₫,39% Off,331 Đã bán,(55),Hà Nội,49.000 ₫,32.700 ₫,97%,91%,,1,0,1,2,52
Trang sức,17.847 ₫,42% Off,70 Đã bán,(29),Hồ Chí Minh,13.000 ₫,17.000 ₫,95%,100%,100%,0,0,0,0,29
Trang sức,4.000 ₫,43% Off,109 Đã bán,(13),Nước ngoài,7.000 ₫,17.000 ₫,95%,100%,71%,0,1,2,0,10
Trang sức,10.846 ₫,57% Off,43 Đã bán,(45),Nước ngoài,44.000 ₫,17.000 ₫,95%,99%,100%,1,0,2,0,43
Trang sức,10.523 ₫,57% Off,113 Đã bán,(18),Hồ Chí Minh,24.650 ₫,17.000 ₫,97%,99%,100%,1,0,1,0,16
Trang sức,4.310 ₫,62% Off,523 Đã bán,(148),Hồ Chí Minh,30.260 ₫,17.000 ₫,95%,99%,100%,3,1,2,0,142
Trang sức,18.000 ₫,49% Off,66 Đã bán,(11),Nước ngoài,35.000 ₫,17.000 ₫,94%,97%,100%,1,0,0,0,11
Trang sức,20.397 ₫,53% Off,2.3K Đã bán,(451),Nước ngoài,43.200 ₫,17.000 ₫,94%,97%,100%,5,6,10,15,415
Trang sức,5.181 ₫,35% Off,1.6K Đã bán,(64),Nước ngoài,8.000 ₫,17.000 ₫,96%,100%,100%,0,0,2,3,59
Trang sức,12.000 ₫,40% Off,56 Đã bán,(16),Hồ Chí Minh,32.000 ₫,17.000 ₫,95%,99%,100%,1,0,1,0,14
Trang sức,17.000 ₫,37% Off,172 Đã bán,(45),Nước ngoài,50.000 ₫,Miễn phí,96%,99%,100%,0,0,2,1,42
Trang sức,8.845 ₫,50% Off,799 Đã bán,(205),Hồ Chí Minh,17.799 ₫,17.000 ₫,96%,100%,100%,4,1,1,5,194
Trang sức,6.000 ₫,40% Off,90 Đã bán,(20),Nước ngoài,12.000 ₫,17.000 ₫,95%,100%,71%,1,0,0,0,19
Trang sức,16.000 ₫,43% Off,1.1K Đã bán,(176),Nước ngoài,28.000 ₫,17.000 ₫,95%,100%,,9,7,10,10,140
Trang sức,20.683 ₫,53% Off,107 Đã bán,(35),Nước ngoài,44.000 ₫,17.000 ₫,96%,89%,100%,1,0,2,2,30
Trang sức,17.575 ₫,51% Off,6 Đã bán,(10),Hồ Chí Minh,36.000 ₫,17.000 ₫,97%,100%,,0,0,0,0,10
Trang sức,21.000 ₫,49% Off,35 Đã bán,(10),Nước ngoài,41.000 ₫,17.000 ₫,94%,97%,100%,0,0,0,0,10
Trang sức,7.556 ₫,20% Off,270 Đã bán,(101),Nước ngoài,12.909 ₫,17.000 ₫,94%,100%,100%,2,0,0,1,98
