Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,"[HCM]Nước rửa bạc, nước rửa trang sức SIÊU SÁNG 50ml RUA",https://www.lazada.vn/products/hcmnuoc-rua-bac-nuoc-rua-trang-suc-sieu-sang-50ml-rua-i1158078964.html,20.000 ₫,,3.2K Đã bán,(633),Hồ Chí Minh,,,,,,,['6'],['3'],['9'],['17'],['598']
Trang sức,"[HCM]Nước rửa bạc, nước rửa trang sức SIÊU SÁNG 100ml",https://www.lazada.vn/products/hcmnuoc-rua-bac-nuoc-rua-trang-suc-sieu-sang-100ml-i1358229587.html,30.000 ₫,,986 Đã bán,(209),Hồ Chí Minh,,16.500 ₫,,98%,100%,Không đủ thông tin,['3'],['3'],['1'],['1'],['201']
Trang sức,"【COMBO 5 HỘP】Nước rửa trang sức vàng bạc, nước tẩy rửa nữ trang Fizzing dung tích 35ml nhanh chóng làm sạch và làm sáng, loại bỏ chất bẩn, hoàn toàn không gây hao mòn",https://www.lazada.vn/products/combo-5-hopnuoc-rua-trang-suc-vang-bac-nuoc-tay-rua-nu-trang-fizzing-dung-tich-35ml-nhanh-chong-lam-sach-va-lam-sang-loai-bo-chat-ban-hoan-toan-khong-gay-hao-mon-i1549609257.html,69.569 ₫,55% Off,1.5K Đã bán,(363),Hồ Chí Minh,154.000 ₫,16.500 ₫,,98%,100%,100%,['2'],['0'],['2'],['4'],['355']
Trang sức,Nước Rửa Trang Sức Bạc Liugems Dung Dịch Làm Sáng Bóng Bạc Như Mới 60ml,https://www.lazada.vn/products/nuoc-rua-trang-suc-bac-liugems-dung-dich-lam-sang-bong-bac-nhu-moi-60ml-i2132090226.html,25.500 ₫,15% Off,2.3K Đã bán,(364),Hồ Chí Minh,30.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,81%,77%,['5'],['2'],['2'],['10'],['346']
Trang sức,17km thanh lịch nơ hình trái tim bướm mặt dây chuyền trái tim Vòng Cổ Zircon ngọc trai pha lê vàng bạc Vòng Cổ Choker cho trang sức nữ Phụ Kiện,https://www.lazada.vn/products/17km-thanh-lich-no-hinh-trai-tim-buom-mat-day-chuyen-trai-tim-vong-co-zircon-ngoc-trai-pha-le-vang-bac-vong-co-choker-cho-trang-suc-nu-phu-kien-i2388370585.html,6.587 ₫,56% Off,3.5K Đã bán,(953),Hồ Chí Minh,18.000 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,95%,97%,['6'],['9'],['11'],['13'],['915']
Trang sức,17km pha lê May Mắn Vòng đeo tay đính hạt cho phụ nữ thanh lịch bướm trăng sao Vòng tay bạc phụ kiện trang sức,https://www.lazada.vn/products/17km-pha-le-may-man-vong-deo-tay-dinh-hat-cho-phu-nu-thanh-lich-buom-trang-sao-vong-tay-bac-phu-kien-trang-suc-i2610474963.html,5.900 ₫,74% Off,1.9K Đã bán,(597),Hồ Chí Minh,22.906 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,95%,97%,['13'],['8'],['15'],['14'],['547']
Trang sức,7 Chiếc ximen inox chạm khắc tinh xảo không đen không gỉ Trang sức Bé Heo Chat shop tư vấn size nhé,https://www.lazada.vn/products/7-chiec-ximen-inox-cham-khac-tinh-xao-khong-den-khong-gi-trang-suc-be-heo-chat-shop-tu-van-size-nhe-i1787250010.html,17.076 ₫,66% Off,3.1K Đã bán,(496),Hồ Chí Minh,50.000 ₫,16.500 ₫,,97%,100%,85%,['7'],['4'],['4'],['6'],['475']
Trang sức,Nước rửa trang sức bạc Vàng Bạc Ngọc Tiến,https://www.lazada.vn/products/nuoc-rua-trang-suc-bac-vang-bac-ngoc-tien-i1946860249.html,15.000 ₫,25% Off,351 Đã bán,(63),Hà Nội,35.000 ₫,32.700 ₫,,97%,100%,Không đủ thông tin,['2'],['0'],['2'],['4'],['55']
Trang sức,17KM Pink Crystal Bell Orchid Bracelet for Women Heart Butterfly Silver Bracelets Accessories Jewelry,https://www.lazada.vn/products/17km-pink-crystal-bell-orchid-bracelet-for-women-heart-butterfly-silver-bracelets-accessories-jewelry-i2644357316.html,9.217 ₫,60% Off,135 Đã bán,(32),Hồ Chí Minh,27.975 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,95%,97%,['1'],['0'],['0'],['1'],['30']
Trang sức,JWER 2 Cái/bộ Dạ Quang Cột Lục Giác Mặt Dây Chuyền Trái Tim Cặp Đôi Vòng Cổ Nam Châm Đá Tự Nhiên Mặt Dây Chuyền Hình Học Quà Tặng Trang Sức Vòng Cổ,https://www.lazada.vn/products/jwer-2-caibo-da-quang-cot-luc-giac-mat-day-chuyen-trai-tim-cap-doi-vong-co-nam-cham-da-tu-nhien-mat-day-chuyen-hinh-hoc-qua-tang-trang-suc-vong-co-i2183419671.html,20.000 ₫,47% Off,149 Đã bán,(64),Hồ Chí Minh,30.000 ₫,17.000 ₫,,95%,100%,71%,['7'],['2'],['0'],['1'],['54']
