,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,quần áo nam,Bộ Đồ Nam Mùa Hè Áo Thun Tay Lỡ Unisex Quần Short Kẻ 3 Sọc Ngang Thời Trang Yodi QA NAM 133,https://www.lazada.vn/products/bo-do-nam-mua-he-ao-thun-tay-lo-unisex-quan-short-ke-3-soc-ngang-thoi-trang-yodi-qa-nam-133-i2186682931.html,55.000 ₫,61% Off,5.9K Đã bán,(1666),Hà Nội,142.200 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,87%,100%,95%,81,28,51,88,1419
1,quần áo nam,Bộ thun nam cổ tròn mặc hè chất liệu vân gạo dập nổi cao cấp phong cách trẻ trung Soyoung MQA 053,https://www.lazada.vn/products/bo-thun-nam-co-tron-mac-he-chat-lieu-van-gao-dap-noi-cao-cap-phong-cach-tre-trung-soyoung-mqa-053-i2592507498.html,39.082 ₫,60% Off,413 Đã bán,(172),Hà Nội,98.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,65%,100%,79%,61,3,0,0,107
2,quần áo nam,[ Hoàn Tiền 15% ] Set Bộ Quần Áo Thun Hè Nam Mẫu Mới In Họa Tiết Chữ LXSU Phối Màu Phong Cách Thời Trang C-CHAT MEN QA 129 V2,https://www.lazada.vn/products/hoan-tien-15-set-bo-quan-ao-thun-he-nam-mau-moi-in-hoa-tiet-chu-lxsu-phoi-mau-phong-cach-thoi-trang-c-chat-men-qa-129-v2-i1371864388.html,28.698 ₫,63% Off,2.9K Đã bán,(1580),Hà Nội,90.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,68%,100%,75%,145,23,10,9,1393
3,quần áo nam,ĐỒ BỘ THỂ THAO GẤU TRÚC PAN.DA SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI ĐỒ BỘ NAM PHONG CÁCH CAO CẤP 2023 - DUBAI FASHION,https://www.lazada.vn/products/do-bo-the-thao-gau-truc-panda-set-do-bo-the-thao-do-bo-tap-gym-mang-o-nha-va-di-choi-do-bo-nam-phong-cach-cao-cap-2023-dubai-fashion-i1274949917.html,32.000 ₫,54% Off,7.3K Đã bán,(1504),Hồ Chí Minh,120.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,88%,99%,100%,126,46,65,109,1159
4,quần áo nam,ĐỒ BỘ THỂ THAO DONT STOP TRÀ SỮA SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI ĐỒ BỘ NAM PHONG CÁCH SÀNH ĐIỆU- DUBAI FASHION,https://www.lazada.vn/products/do-bo-the-thao-dont-stop-tra-sua-set-do-bo-the-thao-do-bo-tap-gym-mang-o-nha-va-di-choi-do-bo-nam-phong-cach-sanh-dieu-dubai-fashion-i2233985477.html,29.799 ₫,57% Off,2.4K Đã bán,(624),Hồ Chí Minh,150.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,88%,99%,100%,N/A,N/A,N/A,N/A,N/A
5,quần áo nam,BỘ THỂ THAO MÙA THU ĐÔNG XUÂN HÈ NAM NỮ UNISEX POLO L-NING HOT TREND 2024 - DUBAI FASHION,https://www.lazada.vn/products/bo-the-thao-mua-thu-dong-xuan-he-nam-nu-unisex-polo-l-ning-hot-trend-2024-dubai-fashion-i2533085784.html,58.500 ₫,58% Off,395 Đã bán,(111),Hồ Chí Minh,200.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,88%,99%,100%,1,1,4,8,97
6,quần áo nam,Áo Phông Nam DSQ2 In Chữ Dominate Your Sport. Áo Thun Nam Nữ DSQUARED2 Form Dáng Unisex Dành Cho Các Boy Phố Chịu Chơi. NTD MAT 081,https://www.lazada.vn/products/ao-phong-nam-dsq2-in-chu-dominate-your-sport-ao-thun-nam-nu-dsquared2-form-dang-unisex-danh-cho-cac-boy-pho-chiu-choi-ntd-mat-081-i2592436000.html,17.370 ₫,65% Off,351 Đã bán,(151),Hà Nội,50.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,69%,100%,82%,51,5,2,1,92
7,quần áo nam,[ Mẫu Mới 2024 ] Bộ quần áo thun nam Bộ quần áo thun nữ Bộ quần áo thun unisex in hình mặt cười XX phong cách trẻ trung mát mẻ Zenko MQA 027,https://www.lazada.vn/products/mau-moi-2024-bo-quan-ao-thun-nam-bo-quan-ao-thun-nu-bo-quan-ao-thun-unisex-in-hinh-mat-cuoi-xx-phong-cach-tre-trung-mat-me-zenko-mqa-027-i2271930066.html,32.845 ₫,66% Off,147 Đã bán,(55),Hà Nội,98.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,65%,100%,85%,16,4,3,3,29
8,quần áo nam,"Bộ quần áo nam in chữ IC dệt ngực, bộ hè nam chất xịn mặc cực thoải mái phong cách trẻ trung lịch sự full size cho bạn",https://www.lazada.vn/products/bo-quan-ao-nam-in-chu-ic-det-nguc-bo-he-nam-chat-xin-mac-cuc-thoai-mai-phong-cach-tre-trung-lich-su-full-size-cho-ban-i2397750927.html,45.000 ₫,50% Off,261 Đã bán,(139),Hà Nội,90.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,98%,100%,1,0,1,0,137
9,quần áo nam,[có video] Áo thun nam thêu logo VL cực đẹp chuẩn thời trang hiện nay hàng shop,https://www.lazada.vn/products/co-video-ao-thun-nam-theu-logo-vl-cuc-dep-chuan-thoi-trang-hien-nay-hang-shop-i737984995.html,45.133 ₫,72% Off,534 Đã bán,(133),Hồ Chí Minh,159.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,97%,80%,4,1,1,2,125
