,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,giày,Wenzhou High Quality Genuine Leather Thick Sole Casual Shoes Small White Shoe Board Shoes,https://www.lazada.vn/products/wenzhou-high-quality-genuine-leather-thick-sole-casual-shoes-small-white-shoe-board-shoes-i2650595330.html,135 ₫,83% Off,209 Đã bán,,Nước ngoài,801 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
1,giày,Business Casual Leather Shoes Fashionable And Versatile Formal Shoes,https://www.lazada.vn/products/business-casual-leather-shoes-fashionable-and-versatile-formal-shoes-i2647402027.html,658 ₫,40% Off,148 Đã bán,,Nước ngoài,1.096 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
2,giày,Popular New Bean Shoes Lefu Shoes Men'S Small Leather Shoes Korean Fashion Shoes Casual Lazy Shoes,https://www.lazada.vn/products/popular-new-bean-shoes-lefu-shoes-mens-small-leather-shoes-korean-fashion-shoes-casual-lazy-shoes-i2647308988.html,592 ₫,40% Off,56 Đã bán,,Nước ngoài,986 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
3,giày,Qiaoyuluo mùa thu Giày nam thoáng khí mới Giày bảo hộ lao động Nam công trường xây dựng làm việc đa năng xu hướng chống trượt Giày thể thao giày cho các ông bố,https://www.lazada.vn/products/qiaoyuluo-mua-thu-giay-nam-thoang-khi-moi-giay-bao-ho-lao-dong-nam-cong-truong-xay-dung-lam-viec-da-nang-xu-huong-chong-truot-giay-the-thao-giay-cho-cac-ong-bo-i2520620023.html,113.000 ₫,57% Off,667 Đã bán,(278),Nước ngoài,262.000 ₫,,Được đổi ý,98%,Không đủ thông tin,100%,3,2,3,6,264
4,giày,YUNGUANG Giày trắng nhỏ màu trắng dành cho nữ Giày nữ mới dành cho sinh viên Giày thể thao đế dày Giày thể thao cổ điển White Lace-Up Prep Giày thể thao nữ màu trắng đảm bảo chất lượng,https://www.lazada.vn/products/yunguang-giay-trang-nho-mau-trang-danh-cho-nu-giay-nu-moi-danh-cho-sinh-vien-giay-the-thao-de-day-giay-the-thao-co-dien-white-lace-up-prep-giay-the-thao-nu-mau-trang-dam-bao-chat-luong-i2403508358.html,86.000 ₫,59% Off,884 Đã bán,(426),Nước ngoài,208.000 ₫,,Được đổi ý,99%,Không đủ thông tin,100%,1,1,4,7,413
5,giày,🔥HOT SALE🔥 BW Giày Nữ Mẫu Mới Mùa Xuân Hè 2024 Giày Thời Trang Giày Thể Thao Học Sinh Giày Thường Ngày,https://www.lazada.vn/products/hot-sale-bw-giay-nu-mau-moi-mua-xuan-he-2024-giay-thoi-trang-giay-the-thao-hoc-sinh-giay-thuong-ngay-i2601981387.html,46.818 ₫,47% Off,1.0K Đã bán,(304),Nước ngoài,89.000 ₫,,Bảo hành bởi Nhà sản xuất quốc tế 6 tháng,94%,Không đủ thông tin,100%,0,2,8,8,287
6,giày,[SIÊU SALE NĂM MỚI] [FREESHIP + VOUCHER] Giày thể thao nữ da cao cấp dây thừng Youz,https://www.lazada.vn/products/sieu-sale-nam-moi-freeship-voucher-giay-the-thao-nu-da-cao-cap-day-thung-youz-i2492135731.html,115.000 ₫,54% Off,1.1K Đã bán,(430),Hà Nội,250.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,98%,87%,100%,4,2,0,15,409
7,giày,"Giày nam nữ Giày thường ngày, giày kape, Giày Nữ Giày vans màu đen, Giày thường ngàyM",https://www.lazada.vn/products/giay-nam-nu-giay-thuong-ngay-giay-kape-giay-nu-giay-vans-mau-den-giay-thuong-ngaym-i2637839054.html,548 ₫,,140 Đã bán,,Nước ngoài,,,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
8,giày,Qiaoyuluo Bắc Kinh cũ mới giày vải Hàn Quốc giày thường Giày chạy bộ phụ nữ chất liệu dệt với họa tiết bay Sneakers,https://www.lazada.vn/products/qiaoyuluo-bac-kinh-cu-moi-giay-vai-han-quoc-giay-thuong-giay-chay-bo-phu-nu-chat-lieu-det-voi-hoa-tiet-bay-sneakers-i2536797902.html,53.000 ₫,52% Off,564 Đã bán,(199),Nước ngoài,110.000 ₫,,Được đổi ý,98%,Không đủ thông tin,100%,2,0,3,3,191
9,giày,Giày thể thao nam Yierku thoáng khí phong cách Hàn Quốc hợp thời trang,https://www.lazada.vn/products/giay-the-thao-nam-yierku-thoang-khi-phong-cach-han-quoc-hop-thoi-trang-i1654511940.html,141.000 ₫,45% Off,5.9K Đã bán,(1006),Nước ngoài,340.000 ₫,,Được đổi ý,94%,Không đủ thông tin,100%,29,9,31,38,900
