,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,giày,Fashionable New Casual Men'S Shoes Sports Shoes Trendy Shoes Anti Slip And Comfortable Running Shoes,https://www.lazada.vn/products/fashionable-new-casual-mens-shoes-sports-shoes-trendy-shoes-anti-slip-and-comfortable-running-shoes-i2660610196.html,135 ₫,100% Off,43 Đã bán,,Nước ngoài,458.952 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
1,giày,Wenzhou High Quality Genuine Leather Thick Sole Casual Shoes Small White Shoe Board Shoes,https://www.lazada.vn/products/wenzhou-high-quality-genuine-leather-thick-sole-casual-shoes-small-white-shoe-board-shoes-i2650595330.html,135 ₫,83% Off,209 Đã bán,,Nước ngoài,801 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
2,giày,Business Casual Leather Shoes Fashionable And Versatile Formal Shoes,https://www.lazada.vn/products/business-casual-leather-shoes-fashionable-and-versatile-formal-shoes-i2647402027.html,658 ₫,40% Off,148 Đã bán,,Nước ngoài,1.096 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
3,giày,🔥HOT SALE🔥 BW Giày Nữ Mẫu Mới Mùa Xuân Hè 2024 Giày Thời Trang Giày Thể Thao Học Sinh Giày Thường Ngày,https://www.lazada.vn/products/hot-sale-bw-giay-nu-mau-moi-mua-xuan-he-2024-giay-thoi-trang-giay-the-thao-hoc-sinh-giay-thuong-ngay-i2601981387.html,46.818 ₫,47% Off,1.0K Đã bán,(304),Nước ngoài,89.000 ₫,,Bảo hành bởi Nhà sản xuất quốc tế 6 tháng,94%,Không đủ thông tin,100%,0,2,8,8,285
4,giày,Qiaoyuluo mùa thu Giày nam thoáng khí mới Giày bảo hộ lao động Nam công trường xây dựng làm việc đa năng xu hướng chống trượt Giày thể thao giày cho các ông bố,https://www.lazada.vn/products/qiaoyuluo-mua-thu-giay-nam-thoang-khi-moi-giay-bao-ho-lao-dong-nam-cong-truong-xay-dung-lam-viec-da-nang-xu-huong-chong-truot-giay-the-thao-giay-cho-cac-ong-bo-i2520620023.html,113.000 ₫,57% Off,667 Đã bán,(278),Nước ngoài,262.000 ₫,,Được đổi ý,98%,Không đủ thông tin,100%,3,2,3,6,263
5,giày,Popular New Bean Shoes Lefu Shoes Men'S Small Leather Shoes Korean Fashion Shoes Casual Lazy Shoes,https://www.lazada.vn/products/popular-new-bean-shoes-lefu-shoes-mens-small-leather-shoes-korean-fashion-shoes-casual-lazy-shoes-i2647308988.html,592 ₫,40% Off,56 Đã bán,,Nước ngoài,986 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
6,giày,YUNGUANG Giày trắng nhỏ màu trắng dành cho nữ Giày nữ mới dành cho sinh viên Giày thể thao đế dày Giày thể thao cổ điển White Lace-Up Prep Giày thể thao nữ màu trắng đảm bảo chất lượng,https://www.lazada.vn/products/yunguang-giay-trang-nho-mau-trang-danh-cho-nu-giay-nu-moi-danh-cho-sinh-vien-giay-the-thao-de-day-giay-the-thao-co-dien-white-lace-up-prep-giay-the-thao-nu-mau-trang-dam-bao-chat-luong-i2403508358.html,86.000 ₫,59% Off,884 Đã bán,(426),Nước ngoài,208.000 ₫,,Được đổi ý,99%,Không đủ thông tin,100%,1,1,4,7,413
7,giày,Giày Thể Thao Nam Dệt Thoi Thời Trang Giày Chạy Bộ Thường Ngày Chịu Mài Mòn,https://www.lazada.vn/products/giay-the-thao-nam-det-thoi-thoi-trang-giay-chay-bo-thuong-ngay-chiu-mai-mon-i2157987958.html,72.000 ₫,35% Off,3.7K Đã bán,(1163),Nước ngoài,110.000 ₫,,Không áp dụng chính sách bảo hành,97%,Không đủ thông tin,100%,33,9,39,58,1023
8,giày,[SIÊU SALE NĂM MỚI] [FREESHIP + VOUCHER] Giày thể thao nữ da cao cấp dây thừng Youz,https://www.lazada.vn/products/sieu-sale-nam-moi-freeship-voucher-giay-the-thao-nu-da-cao-cap-day-thung-youz-i2492135731.html,115.000 ₫,54% Off,1.1K Đã bán,(430),Hà Nội,250.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,98%,87%,100%,4,2,0,15,409
9,giày,Giày lười nam da cơ bản E3 giá rẻ dễ đi,https://www.lazada.vn/products/giay-luoi-nam-da-co-ban-e3-gia-re-de-di-i2452335159.html,68.400 ₫,54% Off,703 Đã bán,(201),Hà Nội,150.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,100%,100%,4,1,5,8,183
